Node ID,Successfully Sent Packets,Successfully Sent Bytes,Successfully Sent Data-Packets,Successfully Sent Data-Bytes,Successfully Sent Control-Packets,Successfully Sent Control-Bytes,Dropped Sent Packets,Dropped Sent Bytes,Dropped Sent Data-Packets,Dropped Sent Data-Bytes,Dropped Sent Control-Packets,Dropped Sent Control-Bytes,Successfully Received Packets,Successfully Received Bytes,Successfully Received Data-Packets,Successfully Received Data-Bytes,Successfully Received Control-Packets,Successfully Received Control-Bytes,Dropped Received Packets,Dropped Received Bytes,Dropped Received Data-Packets,Dropped Received Data-Bytes,Dropped Received Control-Packets,Dropped Received Control-Bytes,Double Sent Packets,Double Sent Bytes,Double Sent Data-Packets,Double Sent Data-Bytes,Double Sent Control-Packets,Double Sent Control-Bytes,Double Received Packets,Double Received Bytes,Double Received Data-Packets,Double Received Data-Bytes,Double Received Control-Packets,Double Received Control-Bytes,Different Received Data Packets,Min Transmission Delay [ms],Max Transmission Delay [ms],Median Transmission Delay [ms],Variance Transmission Delay [ms],Tx Off [ms],Tx On [ms],Tx Busy [ms],Rx Off [ms],Rx On [ms],Rx Busy [ms],Idle [ms],TxRx Off [ms],Busy [ms]
28,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,180,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,1,90,1,90,0,0,1,39,46,42,12.25,60000,0,0,59583,416,6,0,59583,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
32,1,90,1,90,0,0,0,0,0,0,0,0,3,270,3,270,0,0,25,2250,25,2250,0,0,1,90,1,90,0,0,2,180,2,180,0,0,1,120,141,129,74,59996,3,3,59586,413,9,0,59583,0
33,0,0,0,0,0,0,0,0,0,0,0,0,6,540,6,540,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,5,450,5,450,0,0,1,76,114,97,173.583,60000,0,0,59583,416,18,0,59583,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
37,0,0,0,0,0,0,0,0,0,0,0,0,3,270,3,270,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,2,180,2,180,0,0,1,15,23,19,10.6667,60000,0,0,59583,416,9,0,59583,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
39,1,90,1,90,0,0,0,0,0,0,0,0,6,540,6,540,0,0,24,2160,24,2160,0,0,1,90,1,90,0,0,5,450,5,450,0,0,1,39,76,56,167.556,59996,3,3,59586,413,18,0,59583,0
40,1,90,1,90,0,0,0,0,0,0,0,0,3,270,3,270,0,0,26,2340,26,2340,0,0,1,90,1,90,0,0,2,180,2,180,0,0,1,101,120,109,60.6667,59996,3,3,59586,413,9,0,59583,0
41,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,180,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,1,90,1,90,0,0,1,109,114,111,6.25,60000,0,0,59583,416,6,0,59583,0
42,1,90,1,90,0,0,0,0,0,0,0,0,2,180,2,180,0,0,27,2430,27,2430,0,0,1,90,1,90,0,0,1,90,1,90,0,0,1,129,134,131,6.25,59996,3,3,59586,413,6,0,59583,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
44,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1,90,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,30,30,0,60000,0,0,59583,416,3,0,59583,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
50,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,26,2340,26,2340,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,94,129,114,160.24,59996,3,3,59586,413,15,0,59583,0
51,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1,90,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,85,85,0,60000,0,0,59583,416,3,0,59583,0
52,0,0,0,0,0,0,0,0,0,0,0,0,2,180,2,180,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,1,90,1,90,0,0,1,57,67,62,25,60000,0,0,59583,416,6,0,59583,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
55,1,90,1,90,0,0,0,0,0,0,0,0,7,630,7,630,0,0,25,2250,25,2250,0,0,1,90,1,90,0,0,6,540,6,540,0,0,1,63,109,80,229.102,59996,3,3,59586,413,21,0,59583,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
